id,date,cluster,round_number,state,started_at,completed_at,paused_duration_seconds
oper_pom_20251223_0001,2025-12-23,oper,1,COMPLETE,08:00,08:50,0
oper_pom_20251223_0002,2025-12-23,oper,2,COMPLETE,09:00,09:50,0
oper_pom_20251223_0003,2025-12-23,oper,3,COMPLETE,10:00,10:50,0
oper_pom_20251223_0004,2025-12-23,oper,4,COMPLETE,11:00,11:50,0
oper_pom_20251223_0005,2025-12-23,oper,5,COMPLETE,12:00,12:50,0
oper_pom_20251223_0006,2025-12-23,oper,6,COMPLETE,13:00,13:50,0
oper_pom_20251223_0007,2025-12-23,oper,7,INTERRUPTED,14:00,14:50,0
oper_pom_20251223_0008,2025-12-23,oper,8,COMPLETE,15:00,15:50,0
oper_pom_20251223_0009,2025-12-23,oper,9,COMPLETE,16:00,16:50,0
oper_pom_20251223_0010,2025-12-23,oper,10,COMPLETE,17:00,17:50,45
oper_pom_20251223_0011,2025-12-23,oper,11,COMPLETE,18:00,18:50,74
oper_pom_20251224_0001,2025-12-24,oper,1,COMPLETE,08:00,08:50,0
oper_pom_20251224_0002,2025-12-24,oper,2,COMPLETE,09:00,09:50,0
oper_pom_20251224_0003,2025-12-24,oper,3,COMPLETE,10:00,10:50,0
oper_pom_20251224_0004,2025-12-24,oper,4,COMPLETE,11:00,11:50,0
oper_pom_20251224_0005,2025-12-24,oper,5,COMPLETE,12:00,12:50,105
oper_pom_20251224_0006,2025-12-24,oper,6,COMPLETE,13:00,13:50,0
oper_pom_20251224_0007,2025-12-24,oper,7,COMPLETE,14:00,14:50,55
oper_pom_20251224_0008,2025-12-24,oper,8,COMPLETE,15:00,15:50,0
oper_pom_20251224_0009,2025-12-24,oper,9,COMPLETE,16:00,16:50,0
oper_pom_20251224_0010,2025-12-24,oper,10,COMPLETE,17:00,17:50,47
oper_pom_20251224_0011,2025-12-24,oper,11,COMPLETE,18:00,18:50,61
oper_pom_20251225_0001,2025-12-25,oper,1,COMPLETE,08:00,08:50,0
oper_pom_20251225_0002,2025-12-25,oper,2,COMPLETE,09:00,09:50,35
oper_pom_20251225_0003,2025-12-25,oper,3,COMPLETE,10:00,10:50,0
oper_pom_20251225_0004,2025-12-25,oper,4,COMPLETE,11:00,11:50,0
oper_pom_20251225_0005,2025-12-25,oper,5,COMPLETE,12:00,12:50,0
oper_pom_20251225_0006,2025-12-25,oper,6,COMPLETE,13:00,13:50,0
oper_pom_20251225_0007,2025-12-25,oper,7,COMPLETE,14:00,14:50,0
oper_pom_20251225_0008,2025-12-25,oper,8,COMPLETE,15:00,15:50,99
oper_pom_20251225_0009,2025-12-25,oper,9,COMPLETE,16:00,16:50,0
oper_pom_20251225_0010,2025-12-25,oper,10,COMPLETE,17:00,17:50,10
oper_pom_20251225_0011,2025-12-25,oper,11,COMPLETE,18:00,18:50,0
oper_pom_20251226_0001,2025-12-26,oper,1,COMPLETE,08:00,08:50,0
oper_pom_20251226_0002,2025-12-26,oper,2,COMPLETE,09:00,09:50,8
oper_pom_20251226_0003,2025-12-26,oper,3,COMPLETE,10:00,10:50,0
oper_pom_20251226_0004,2025-12-26,oper,4,COMPLETE,11:00,11:50,0
oper_pom_20251226_0005,2025-12-26,oper,5,COMPLETE,12:00,12:50,0
oper_pom_20251226_0006,2025-12-26,oper,6,COMPLETE,13:00,13:50,0
oper_pom_20251226_0007,2025-12-26,oper,7,COMPLETE,14:00,14:50,0
oper_pom_20251226_0008,2025-12-26,oper,8,INTERRUPTED,15:00,15:50,0
oper_pom_20251226_0009,2025-12-26,oper,9,COMPLETE,16:00,16:50,0
oper_pom_20251226_0010,2025-12-26,oper,10,COMPLETE,17:00,17:50,0
oper_pom_20251226_0011,2025-12-26,oper,11,COMPLETE,18:00,18:50,0
oper_pom_20251227_0001,2025-12-27,oper,1,COMPLETE,08:00,08:50,31
oper_pom_20251227_0002,2025-12-27,oper,2,COMPLETE,09:00,09:50,0
