id,date,cluster,codigo,ritual,duracao_min,completed,notas
oper_trn_T1_20251223,2025-12-23,oper,T1,Sessão despertar,5,True,Synthetic Padrao_Ouro
oper_trn_T2_20251223,2025-12-23,oper,T2,Entrada MANHA,3,True,Synthetic Padrao_Ouro
oper_trn_T3_20251223,2025-12-23,oper,T3,Início foco #1,2,True,Synthetic Padrao_Ouro
oper_trn_T4_20251223,2025-12-23,oper,T4,Pausa manhã,10,True,Synthetic Padrao_Ouro
oper_trn_T5_20251223,2025-12-23,oper,T5,Entrada TARDE,3,True,Synthetic Padrao_Ouro
oper_trn_T6_20251223,2025-12-23,oper,T6,Almoço,45,True,Synthetic Padrao_Ouro
oper_trn_T7_20251223,2025-12-23,oper,T7,Pós-almoço,20,True,Synthetic Padrao_Ouro
oper_trn_T8_20251223,2025-12-23,oper,T8,Entrada NOITE,3,True,Synthetic Padrao_Ouro
oper_trn_T9_20251223,2025-12-23,oper,T9,Sessão dormir,10,True,Synthetic Padrao_Ouro
oper_trn_T1_20251224,2025-12-24,oper,T1,Sessão despertar,5,True,Synthetic Padrao_Ouro
oper_trn_T2_20251224,2025-12-24,oper,T2,Entrada MANHA,3,True,Synthetic Padrao_Ouro
oper_trn_T3_20251224,2025-12-24,oper,T3,Início foco #1,2,True,Synthetic Padrao_Ouro
oper_trn_T4_20251224,2025-12-24,oper,T4,Pausa manhã,10,True,Synthetic Padrao_Ouro
oper_trn_T5_20251224,2025-12-24,oper,T5,Entrada TARDE,3,True,Synthetic Padrao_Ouro
oper_trn_T6_20251224,2025-12-24,oper,T6,Almoço,45,True,Synthetic Padrao_Ouro
oper_trn_T7_20251224,2025-12-24,oper,T7,Pós-almoço,20,False,Synthetic Padrao_Ouro
oper_trn_T8_20251224,2025-12-24,oper,T8,Entrada NOITE,3,True,Synthetic Padrao_Ouro
oper_trn_T9_20251224,2025-12-24,oper,T9,Sessão dormir,10,True,Synthetic Padrao_Ouro
oper_trn_T1_20251225,2025-12-25,oper,T1,Sessão despertar,5,True,Synthetic Padrao_Ouro
oper_trn_T2_20251225,2025-12-25,oper,T2,Entrada MANHA,3,True,Synthetic Padrao_Ouro
oper_trn_T3_20251225,2025-12-25,oper,T3,Início foco #1,2,True,Synthetic Padrao_Ouro
oper_trn_T4_20251225,2025-12-25,oper,T4,Pausa manhã,10,True,Synthetic Padrao_Ouro
oper_trn_T5_20251225,2025-12-25,oper,T5,Entrada TARDE,3,True,Synthetic Padrao_Ouro
oper_trn_T6_20251225,2025-12-25,oper,T6,Almoço,45,True,Synthetic Padrao_Ouro
oper_trn_T7_20251225,2025-12-25,oper,T7,Pós-almoço,20,True,Synthetic Padrao_Ouro
oper_trn_T8_20251225,2025-12-25,oper,T8,Entrada NOITE,3,True,Synthetic Padrao_Ouro
oper_trn_T9_20251225,2025-12-25,oper,T9,Sessão dormir,10,True,Synthetic Padrao_Ouro
oper_trn_T1_20251226,2025-12-26,oper,T1,Sessão despertar,5,True,Synthetic Padrao_Ouro
oper_trn_T2_20251226,2025-12-26,oper,T2,Entrada MANHA,3,True,Synthetic Padrao_Ouro
oper_trn_T3_20251226,2025-12-26,oper,T3,Início foco #1,2,True,Synthetic Padrao_Ouro
oper_trn_T4_20251226,2025-12-26,oper,T4,Pausa manhã,10,True,Synthetic Padrao_Ouro
oper_trn_T5_20251226,2025-12-26,oper,T5,Entrada TARDE,3,True,Synthetic Padrao_Ouro
oper_trn_T6_20251226,2025-12-26,oper,T6,Almoço,45,True,Synthetic Padrao_Ouro
oper_trn_T7_20251226,2025-12-26,oper,T7,Pós-almoço,20,True,Synthetic Padrao_Ouro
oper_trn_T8_20251226,2025-12-26,oper,T8,Entrada NOITE,3,True,Synthetic Padrao_Ouro
oper_trn_T9_20251226,2025-12-26,oper,T9,Sessão dormir,10,True,Synthetic Padrao_Ouro
oper_trn_T1_20251227,2025-12-27,oper,T1,Sessão despertar,5,True,Synthetic Desvio_Leve
oper_trn_T2_20251227,2025-12-27,oper,T2,Entrada MANHA,3,False,Synthetic Desvio_Leve
oper_trn_T3_20251227,2025-12-27,oper,T3,Início foco #1,2,True,Synthetic Desvio_Leve
oper_trn_T4_20251227,2025-12-27,oper,T4,Pausa manhã,10,True,Synthetic Desvio_Leve
oper_trn_T5_20251227,2025-12-27,oper,T5,Entrada TARDE,3,True,Synthetic Desvio_Leve
oper_trn_T6_20251227,2025-12-27,oper,T6,Almoço,45,True,Synthetic Desvio_Leve
oper_trn_T7_20251227,2025-12-27,oper,T7,Pós-almoço,20,True,Synthetic Desvio_Leve
oper_trn_T8_20251227,2025-12-27,oper,T8,Entrada NOITE,3,True,Synthetic Desvio_Leve
oper_trn_T9_20251227,2025-12-27,oper,T9,Sessão dormir,10,False,Synthetic Desvio_Leve
oper_trn_T1_20251228,2025-12-28,oper,T1,Sessão despertar,5,True,Synthetic Fim_de_Semana
oper_trn_T2_20251228,2025-12-28,oper,T2,Entrada MANHA,3,True,Synthetic Fim_de_Semana
oper_trn_T3_20251228,2025-12-28,oper,T3,Início foco #1,2,True,Synthetic Fim_de_Semana
oper_trn_T4_20251228,2025-12-28,oper,T4,Pausa manhã,10,True,Synthetic Fim_de_Semana
oper_trn_T5_20251228,2025-12-28,oper,T5,Entrada TARDE,3,True,Synthetic Fim_de_Semana
oper_trn_T6_20251228,2025-12-28,oper,T6,Almoço,45,True,Synthetic Fim_de_Semana
oper_trn_T7_20251228,2025-12-28,oper,T7,Pós-almoço,20,True,Synthetic Fim_de_Semana
oper_trn_T8_20251228,2025-12-28,oper,T8,Entrada NOITE,3,True,Synthetic Fim_de_Semana
