entity_type,id,date,cluster
habit_state,oper_hst_beber_2l_de_agua_20251223,2025-12-23,oper
habit_state,oper_hst_meditar_10min_20251223,2025-12-23,oper
habit_state,oper_hst_alongamento_20251223,2025-12-23,oper
habit_state,oper_hst_escrever_diario_20251223,2025-12-23,oper
habit_state,oper_hst_planejar_dia_20251223,2025-12-23,oper
sleep_record,oper_sle_20251223,2025-12-23,oper
qhe_metrics,oper_qhe_20251223,2025-12-23,oper
policy_decision,oper_pol_20251223,2025-12-23,oper
day_context,oper_ctx_20251223,2025-12-23,oper
journal_entry,oper_jrn_20251223_AM,2025-12-23,oper
journal_entry,oper_jrn_20251223_PM,2025-12-23,oper
pomodoro_round,oper_pom_20251223_0001,2025-12-23,oper
pomodoro_round,oper_pom_20251223_0002,2025-12-23,oper
pomodoro_round,oper_pom_20251223_0003,2025-12-23,oper
pomodoro_round,oper_pom_20251223_0004,2025-12-23,oper
pomodoro_round,oper_pom_20251223_0005,2025-12-23,oper
pomodoro_round,oper_pom_20251223_0006,2025-12-23,oper
pomodoro_round,oper_pom_20251223_0007,2025-12-23,oper
pomodoro_round,oper_pom_20251223_0008,2025-12-23,oper
pomodoro_round,oper_pom_20251223_0009,2025-12-23,oper
pomodoro_round,oper_pom_20251223_0010,2025-12-23,oper
pomodoro_round,oper_pom_20251223_0011,2025-12-23,oper
daily_reflection,oper_ref_20251223,2025-12-23,oper
lunch_record,oper_lun_20251223,2025-12-23,oper
transicao,oper_trn_T1_20251223,2025-12-23,oper
transicao,oper_trn_T2_20251223,2025-12-23,oper
transicao,oper_trn_T3_20251223,2025-12-23,oper
transicao,oper_trn_T4_20251223,2025-12-23,oper
transicao,oper_trn_T5_20251223,2025-12-23,oper
transicao,oper_trn_T6_20251223,2025-12-23,oper
transicao,oper_trn_T7_20251223,2025-12-23,oper
transicao,oper_trn_T8_20251223,2025-12-23,oper
transicao,oper_trn_T9_20251223,2025-12-23,oper
time_block,oper_blk_001_20251223,2025-12-23,oper
time_block,oper_blk_002_20251223,2025-12-23,oper
time_block,oper_blk_003_20251223,2025-12-23,oper
routine_log,oper_rlg_001_20251223,2025-12-23,oper
routine_log,oper_rlg_002_20251223,2025-12-23,oper
routine_log,oper_rlg_003_20251223,2025-12-23,oper
routine_log,oper_rlg_004_20251223,2025-12-23,oper
routine_log,oper_rlg_005_20251223,2025-12-23,oper
routine_log,oper_rlg_006_20251223,2025-12-23,oper
habit_state,oper_hst_beber_2l_de_agua_20251224,2025-12-24,oper
habit_state,oper_hst_meditar_10min_20251224,2025-12-24,oper
habit_state,oper_hst_alongamento_20251224,2025-12-24,oper
habit_state,oper_hst_escrever_diario_20251224,2025-12-24,oper
habit_state,oper_hst_planejar_dia_20251224,2025-12-24,oper
sleep_record,oper_sle_20251224,2025-12-24,oper
qhe_metrics,oper_qhe_20251224,2025-12-24,oper
policy_decision,oper_pol_20251224,2025-12-24,oper
day_context,oper_ctx_20251224,2025-12-24,oper
journal_entry,oper_jrn_20251224_AM,2025-12-24,oper
journal_entry,oper_jrn_20251224_PM,2025-12-24,oper
pomodoro_round,oper_pom_20251224_0001,2025-12-24,oper
pomodoro_round,oper_pom_20251224_0002,2025-12-24,oper
pomodoro_round,oper_pom_20251224_0003,2025-12-24,oper
pomodoro_round,oper_pom_20251224_0004,2025-12-24,oper
pomodoro_round,oper_pom_20251224_0005,2025-12-24,oper
pomodoro_round,oper_pom_20251224_0006,2025-12-24,oper
pomodoro_round,oper_pom_20251224_0007,2025-12-24,oper
pomodoro_round,oper_pom_20251224_0008,2025-12-24,oper
pomodoro_round,oper_pom_20251224_0009,2025-12-24,oper
pomodoro_round,oper_pom_20251224_0010,2025-12-24,oper
pomodoro_round,oper_pom_20251224_0011,2025-12-24,oper
daily_reflection,oper_ref_20251224,2025-12-24,oper
lunch_record,oper_lun_20251224,2025-12-24,oper
transicao,oper_trn_T1_20251224,2025-12-24,oper
transicao,oper_trn_T2_20251224,2025-12-24,oper
transicao,oper_trn_T3_20251224,2025-12-24,oper
transicao,oper_trn_T4_20251224,2025-12-24,oper
transicao,oper_trn_T5_20251224,2025-12-24,oper
transicao,oper_trn_T6_20251224,2025-12-24,oper
transicao,oper_trn_T7_20251224,2025-12-24,oper
transicao,oper_trn_T8_20251224,2025-12-24,oper
transicao,oper_trn_T9_20251224,2025-12-24,oper
time_block,oper_blk_001_20251224,2025-12-24,oper
time_block,oper_blk_002_20251224,2025-12-24,oper
time_block,oper_blk_003_20251224,2025-12-24,oper
routine_log,oper_rlg_001_20251224,2025-12-24,oper
routine_log,oper_rlg_002_20251224,2025-12-24,oper
routine_log,oper_rlg_003_20251224,2025-12-24,oper
routine_log,oper_rlg_004_20251224,2025-12-24,oper
routine_log,oper_rlg_005_20251224,2025-12-24,oper
routine_log,oper_rlg_006_20251224,2025-12-24,oper
habit_state,oper_hst_beber_2l_de_agua_20251225,2025-12-25,oper
habit_state,oper_hst_meditar_10min_20251225,2025-12-25,oper
habit_state,oper_hst_alongamento_20251225,2025-12-25,oper
habit_state,oper_hst_escrever_diario_20251225,2025-12-25,oper
habit_state,oper_hst_planejar_dia_20251225,2025-12-25,oper
sleep_record,oper_sle_20251225,2025-12-25,oper
qhe_metrics,oper_qhe_20251225,2025-12-25,oper
policy_decision,oper_pol_20251225,2025-12-25,oper
day_context,oper_ctx_20251225,2025-12-25,oper
journal_entry,oper_jrn_20251225_AM,2025-12-25,oper
journal_entry,oper_jrn_20251225_PM,2025-12-25,oper
pomodoro_round,oper_pom_20251225_0001,2025-12-25,oper
pomodoro_round,oper_pom_20251225_0002,2025-12-25,oper
pomodoro_round,oper_pom_20251225_0003,2025-12-25,oper
pomodoro_round,oper_pom_20251225_0004,2025-12-25,oper
pomodoro_round,oper_pom_20251225_0005,2025-12-25,oper
pomodoro_round,oper_pom_20251225_0006,2025-12-25,oper
pomodoro_round,oper_pom_20251225_0007,2025-12-25,oper
pomodoro_round,oper_pom_20251225_0008,2025-12-25,oper
pomodoro_round,oper_pom_20251225_0009,2025-12-25,oper
pomodoro_round,oper_pom_20251225_0010,2025-12-25,oper
pomodoro_round,oper_pom_20251225_0011,2025-12-25,oper
daily_reflection,oper_ref_20251225,2025-12-25,oper
lunch_record,oper_lun_20251225,2025-12-25,oper
transicao,oper_trn_T1_20251225,2025-12-25,oper
transicao,oper_trn_T2_20251225,2025-12-25,oper
transicao,oper_trn_T3_20251225,2025-12-25,oper
transicao,oper_trn_T4_20251225,2025-12-25,oper
transicao,oper_trn_T5_20251225,2025-12-25,oper
transicao,oper_trn_T6_20251225,2025-12-25,oper
transicao,oper_trn_T7_20251225,2025-12-25,oper
transicao,oper_trn_T8_20251225,2025-12-25,oper
transicao,oper_trn_T9_20251225,2025-12-25,oper
time_block,oper_blk_001_20251225,2025-12-25,oper
time_block,oper_blk_002_20251225,2025-12-25,oper
time_block,oper_blk_003_20251225,2025-12-25,oper
routine_log,oper_rlg_001_20251225,2025-12-25,oper
routine_log,oper_rlg_002_20251225,2025-12-25,oper
routine_log,oper_rlg_003_20251225,2025-12-25,oper
routine_log,oper_rlg_004_20251225,2025-12-25,oper
routine_log,oper_rlg_005_20251225,2025-12-25,oper
routine_log,oper_rlg_006_20251225,2025-12-25,oper
habit_state,oper_hst_beber_2l_de_agua_20251226,2025-12-26,oper
