entity_type,id,name,category,resistance,lambda_learning,weight_in_qhe,frequency,target_streak,description,created_at,archived,state,hardwork_budget_hours,max_pomodoros_per_day,sleep_target_hours,qhe_target,break_minutes,allowed_phases,date,bedtime,wake_time,quality_score,deep_sleep_pct,rem_sleep_pct,interruptions,notes,source,duration_hours,label,start,end,period,routine_id,energia_nivel,foco_nivel,duration_minutes,overlaps_period,has_routine_link,block_id,routine_type,text,humor,is_entry_routine,is_exit_routine,entry_text,periods_covered,routines_completed,desvios,ajustes_finos,rotinas_logs,licoes_aprendidas,pomodoros_completos,humor_morning,humor_evening,updated_at,round_number,started_at,completed_at,paused_duration_seconds,actual_duration_minutes,is_focus_round,is_break_round,tipo_dia,hardwork_orcado_min,hardwork_realizado_min,pomodoros_meta,pomodoros_realizados,tem_curso,tem_deadline,observacoes,desvio_min,produtividade_pct,parar_de_fazer,repetir,sempre_fazer,big_win,deu_certo,deu_errado,maior_aprendizado,ajustes_para_amanha,estado_geral,eat_min,rest_min,pesado,notas,duracao_total,within_budget,codigo,ritual,duracao_min,completed,severity,rationale,setpoints,days_in_state,previous_state,qhe_input,energy_input,infraction_count,applied,applied_at,minutos,reason,block_id_before,block_id_after
habit,hab_syn_beber_agua,Beber 2L Agua,physiological,2.0,0.093,0.8,DAILY,30,Synthetic habit (target streak 30).,2026-06-08T00:00:00+00:00,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
habit,hab_syn_meditar,Meditar 10min,ritual,3.0,0.093,0.6,DAILY,14,Synthetic habit (target streak 14).,2026-06-08T00:00:00+00:00,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
habit,hab_syn_alongar,Alongamento Matinal,physiological,4.0,0.093,0.5,DAILY,21,Synthetic habit (target streak 21).,2026-06-08T00:00:00+00:00,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
habit,hab_syn_ler_tec,Ler 30min Tecnico,cognitive,5.0,0.093,0.7,DAILY,7,Synthetic habit (target streak 7).,2026-06-08T00:00:00+00:00,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
habit,hab_syn_caminhar,Caminhada 20min,physiological,4.0,0.093,0.4,WEEKLY,4,Synthetic habit (target streak 4).,2026-06-08T00:00:00+00:00,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
habit,hab_syn_familia,Ligar Familia,social,6.0,0.093,0.3,WEEKLY,3,Synthetic habit (target streak 3).,2026-06-08T00:00:00+00:00,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
habit,hab_syn_diario,Escrever Diario,creative,3.0,0.093,0.4,DAILY,10,Synthetic habit (target streak 10).,2026-06-08T00:00:00+00:00,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
habit,hab_syn_planejar,Planejar Amanha,ritual,1.0,0.093,0.9,DAILY,30,Synthetic habit (target streak 30).,2026-06-08T00:00:00+00:00,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
policy_setpoints,set_syn_push,,,,,,,,PUSH synthetic.,2026-06-08T00:00:00+00:00,,PUSH,8.0,10,7.0,0.85,10,"[""DEEP_WORK"", ""SHALLOW_WORK""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
policy_setpoints,set_syn_maintain,,,,,,,,MAINTAIN synthetic.,2026-06-08T00:00:00+00:00,,MAINTAIN,6.0,8,8.0,0.75,10,"[""DEEP_WORK"", ""SHALLOW_WORK""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
policy_setpoints,set_syn_recover,,,,,,,,RECOVER synthetic.,2026-06-08T00:00:00+00:00,,RECOVER,2.0,2,9.0,0.5,20,"[""RECOVERY""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
